"provincia";"comune";"toponimo";"COMBUSTIBILE_Gas_metano";"COMBUSTIBILE_Gasolio";"COMBUSTIBILE_GPL";"COMBUSTIBILE_Kerosene";"COMBUSTIBILE_Olio_combustibile";"COMBUSTIBILE_Legno";"COMBUSTIBILE_Pellet";"COMBUSTIBILE_Altro";"POTENZA_minore_35_KW";"POTENZA_da_35_a_116_KW";"POTENZA_da_116_a_350_KW";"POTENZA_uguale_350_KW_e_maggiore"
"096";"096082";"ZUBIENA";8;1;2;;;;;;10;1;;
"096";"096083";"ZUMAGLIA";7;;;;;;;;7;;;
"096";"096084";"MOSSO";9;;4;;;;;;13;;;
"103";"103001";"ANTRONA SCHIERANCO";;;;;;;;;;;;
"103";"103002";"ANZOLA D'OSSOLA";;;;;;;;;;;;
"103";"103003";"ARIZZANO";;;;;;;;;;;;
"103";"103004";"AROLA";;;;;;;;;;;;
"103";"103005";"AURANO";;;;;;;;;;;;
"103";"103006";"BACENO";;;;;;;;;;;;
"103";"103007";"BANNIO ANZINO";;;;;;;;;;;;
"103";"103008";"BAVENO";;;;;;;;;;;;
"103";"103009";"BEE";;;;;;;;;;;;
"103";"103010";"BELGIRATE";;;;;;;;;;;;
"103";"103011";"BEURA-CARDEZZA";;;;;;;;;;;;
"103";"103012";"BOGNANCO";;;;;;;;;;;;
"103";"103013";"BROVELLO-CARPUGNINO";;;;;;;;;;;;
"103";"103014";"CALASCA-CASTIGLIONE";;;;;;;;;;;;
"103";"103015";"CAMBIASCA";;;;;;;;;;;;
"103";"103016";"CANNERO RIVIERA";;;;;;;;;;;;
"103";"103017";"CANNOBIO";;;;;;;;;;;;
"103";"103018";"CAPREZZO";;;;;;;;;;;;
"103";"103019";"CASALE CORTE CERRO";;;;;;;;;;;;
"103";"103020";"CAVAGLIO-SPOCCIA";;;;;;;;;;;;
"103";"103021";"CEPPO MORELLI";;;;;;;;;;;;
"103";"103022";"CESARA";;;;;;;;;;;;
"103";"103023";"COSSOGNO";;;;;;;;;;;;
"103";"103024";"CRAVEGGIA";;;;;;;;;;;;
"103";"103025";"CREVOLADOSSOLA";;;;;;;;;;;;
"103";"103026";"CRODO";;;;;;;;;;;;
"103";"103027";"CURSOLO-ORASSO";;;;;;;;;;;;
"103";"103028";"DOMODOSSOLA";;;;;;;;;;;;
"103";"103029";"DRUOGNO";;;;;;;;;;;;
"103";"103030";"FALMENTA";;;;;;;;;;;;
"103";"103031";"FORMAZZA";;;;;;;;;;;;
"103";"103032";"GERMAGNO";;;;;;;;;;;;
"103";"103033";"GHIFFA";;;;;;;;;;;;
"103";"103034";"GIGNESE";;;;;;;;;;;;
"103";"103035";"GRAVELLONA TOCE";;;;;;;;;;;;
"103";"103036";"GURRO";;;;;;;;;;;;
"103";"103037";"INTRAGNA";;;;;;;;;;;;
"103";"103038";"LOREGLIA";;;;;;;;;;;;
"103";"103039";"MACUGNAGA";;;;;;;;;;;;
"103";"103040";"MADONNA DEL SASSO";;;;;;;;;;;;
"103";"103041";"MALESCO";;;;;;;;;;;;
"103";"103042";"MASERA";;;;;;;;;;;;
"103";"103043";"MASSIOLA";;;;;;;;;;;;
"103";"103044";"MERGOZZO";;;;;;;;;;;;
"103";"103045";"MIAZZINA";;;;;;;;;;;;
"103";"103046";"MONTECRESTESE";;;;;;;;;;;;
"103";"103047";"MONTESCHENO";;;;;;;;;;;;
"103";"103048";"NONIO";;;;;;;;;;;;
"103";"103049";"OGGEBBIO";;;;;;;;;;;;
"103";"103050";"OMEGNA";;;;;;;;;;;;
"103";"103051";"ORNAVASSO";;;;;;;;;;;;
"103";"103052";"PALLANZENO";;;;;;;;;;;;
"103";"103053";"PIEDIMULERA";;;;;;;;;;;;
"103";"103054";"PIEVE VERGONTE";;;;;;;;;;;;
"103";"103055";"PREMENO";;;;;;;;;;;;
"103";"103056";"PREMIA";;;;;;;;;;;;
"103";"103057";"PREMOSELLO-CHIOVENDA";;;;;;;;;;;;
"103";"103058";"QUARNA SOPRA";;;;;;;;;;;;
"103";"103059";"QUARNA SOTTO";;;;;;;;;;;;
"103";"103060";"RE";;;;;;;;;;;;
"103";"103061";"SAN BERNARDINO VERBANO";;;;;;;;;;;;
"103";"103062";"SANTA MARIA MAGGIORE";;;;;;;;;;;;
"103";"103063";"SEPPIANA";;;;;;;;;;;;
"103";"103064";"STRESA";;;;;;;;;;;;
"103";"103065";"TOCENO";;;;;;;;;;;;
"103";"103066";"TRAREGO VIGGIONA";;;;;;;;;;;;
"103";"103067";"TRASQUERA";;;;;;;;;;;;
"103";"103068";"TRONTANO";;;;;;;;;;;;
"103";"103069";"VALSTRONA";;;;;;;;;;;;
"103";"103070";"VANZONE CON SAN CARLO";;;;;;;;;;;;
"103";"103071";"VARZO";;;;;;;;;;;;
"103";"103072";"VERBANIA";1;;;;;;;;1;;;
"103";"103073";"VIGANELLA";;;;;;;;;;;;
"103";"103074";"VIGNONE";;;;;;;;;;;;
"103";"103075";"VILLADOSSOLA";;;;;;;;;;;;
"103";"103076";"VILLETTE";;;;;;;;;;;;
"103";"103077";"VOGOGNA";;;;;;;;;;;;
